18:40:22.528 -> driveStraight() 550.00 mm at 180 power.
18:40:22.575 -> Target: 2.693 revolutions.
18:40:22.622 -> 
18:40:22.622 -> Left	Right	Target count
18:40:22.622 -> ============================
18:40:22.715 -> 0	0	517
18:40:22.761 -> 4	4	517
18:40:22.807 -> 13	14	517
18:40:22.853 -> 27	27	517
18:40:22.900 -> 43	44	517
18:40:22.946 -> 62	62	517
18:40:22.994 -> 82	81	517
18:40:23.040 -> 103	101	517
18:40:23.134 -> 125	123	517
18:40:23.181 -> 147	145	517
18:40:23.228 -> 169	167	517
18:40:23.274 -> 192	190	517
18:40:23.320 -> 214	214	517
18:40:23.367 -> 237	237	517
18:40:23.414 -> 260	261	517
18:40:23.461 -> 283	285	517
18:40:23.508 -> 306	308	517
18:40:23.556 -> 330	332	517
18:40:23.602 -> 354	355	517
18:40:23.650 -> 378	378	517
18:40:23.743 -> 402	401	517
18:40:23.790 -> 426	424	517
18:40:23.837 -> 450	448	517
18:40:23.884 -> 474	472	517
18:40:23.931 -> 497	496	517
18:40:23.976 -> 520	521	517
18:40:24.023 -> driveStraight() 350.00 mm at 120 power.
18:40:24.070 -> Target: 1.714 revolutions.
18:40:24.117 -> 
18:40:24.117 -> Left	Right	Target count
18:40:24.117 -> ============================
18:40:24.212 -> 46	48	329
18:40:24.259 -> 68	71	329
18:40:24.306 -> 89	92	329
18:40:24.354 -> 108	112	329
18:40:24.399 -> 128	130	329
18:40:24.446 -> 146	147	329
18:40:24.491 -> 165	163	329
18:40:24.575 -> 183	180	329
18:40:24.581 -> 200	196	329
18:40:24.666 -> 217	212	329
18:40:24.714 -> 234	228	329
18:40:24.761 -> 250	245	329
18:40:24.807 -> 265	263	329
18:40:24.854 -> 280	280	329
18:40:24.900 -> 295	298	329
18:40:24.948 -> 310	315	329
18:40:24.993 -> 325	332	329
